name,gender
John D. Schofield,m
Jonathan Fuh,m
Hunter M. Via,m
Louis Leterrier,m
Jory Weitz,m
Danny Lerner,m
Deborah Aquila,f
Howard Shore,m
Jina Jay,f
Jeff Kwatinetz,m
Manon Rasmussen,f
Jason Friedberg,m
Lili Haydn,f
Bob Beemer,m
Rainer Werner Fassbinder,m
Brad Lewis,m
Anne Fletcher,f
Robert Schumann,m
Peter Armstrong,m
Nagisa Ōshima,m
Neil Kopp,m
Lisa Day,f
Maurice Kanbar,m
Ramin Djawadi,m
"Daniel Petrie, Jr.",m
Eric Kopeloff,m
Sammy Lee,m
Anne Kuljian,f
Joel Cox,m
Amy Marshall,f
W. Steven Graham,m
Jessica Biel,f
Paul Martin Smith,m
Marc Smerling,m
Andrew Johnson,m
Bonnie Timmermann,f
Ellen Chenoweth,f
Timur Bekmambetov,m
John Grisham,m
Tim Burke,m
Lance Anderson,m
Shannon Kenny,f
Mike Hopkins,m
Michael J. Maurer,m
Andrew Licht,m
Rebecca Robertson,f
Penny Perry,f
Joel Schumacher,m
Robert J. Ulrich,m
Bradley Fuller,m
Kelli Konop,f
Will Canon,m
Brian Tyler,m
Tom Rosenberg,m
Randall Balsmeyer,m
James Cameron,m
Salvatore Ficarra,m
Donna Maloney,f
John Hodge,m
Ellen Moon Lee,f
Adam Shankman,m
Mark Rosinski,m
Jason Blumenfeld,m
Michael Cimino,m
John S. Moyer,m
M. Night Shyamalan,m
John Williams,m
Glenn Garland,m
Stefan Czapsky,m
William Mesa,m
Kyle Mann,m
Normand Corbeil,m
Frank Bollinger,m
Adam Sandler,m
Mark Ordesky,m
Eli Reed,m
Adam Shankman,m
Grant Major,m
Anthony Tambakis,m
Richard Chew,m
Clive Barker,m
Danny Pang,m
Patricia Casey,f
Charles Mulvehill,m
Jim May,m
Graeme Revell,m
Vilmos Zsigmond,m
Harvey Rosenstock,m
Andrew Z. Davis,m
Edward Zwick,m
Aaron Ryder,m
Jeff Rice,m
Richard Maibaum,m
Angel Pine,f
Will Bates,m
David O. Russell,m
Robert L. Stevenson,m
Sean McCormack,m
Christopher Baffa,m
Dave Flynch,m
Thomas Johnston,m
Chris Butler,m
John Roesch,m
Kevin Tiesiera,m
Henry B. Walthall,m
Jérôme Salle,m
Gianni Nunnari,m
Harris Savides,m
Michael Uslan,m
Sam Vincent,m
Helen Jarvis,f
Derek R. Hill,m
Salman Khan,m
David Kanter,m
Robert Gould,m
Leigh Whannell,m
Kevin O'Connell,m
Charles Okun,m
O. Nicholas Brown,m
Joseph P. Reidy,m
John Barry,m
J.J. Makaro,m
Sophie Brunet,f
Zack Snyder,m
Priscilla John,f
Rhonda Tollefson,f
Simon Duggan,m
David Byrne,m
Neil Spisak,m
David Lean,m
Paul Brooks,m
Gary Whitta,m
Christopher Markus,m
Cynthia L. Chapman,f
"Álvaro Augustín",m
Robert Rodriguez,m
Gary Davis,m
Jack Fisk,m
Michael I. Rachmil,m
Bram Stoker,m
Elliot Davis,m
Mark Isham,m
Lance Gewer,m
Sharon Seymour,f
Harry Gregson-Williams,m
Craig Brewer,m
Barry W. Blaustein,m
Simon Boswell,m
Greg Papalia,m
John Polson,m
Uma Thurman,f
Mark Willsher,m
Nina Gold,f
Steven Visscher,m
Tom Clancy,m
Spike Lee,m
Ennio Morricone,m
Scott Hicks,m
Doug Simon,m
Dean Georgaris,m
Suzanne Smith,f
Larry Clark,m
David Waters,m
Andrew Marcus,m
George S. Clinton,m
Marc Klein,m
William Packer,m
Federico Fellini,m
Roger Ford,m
Rudyard Kipling,m
Robert Lantos,m
Lee Dichter,m
Adam Kimmel,m
David Watkin,m
Nancy Bishop,f
William Yeh,m
Mike Drake,m
Lady Gaga,f
John Musker,m
Jeff Cutter,m
Laurent Pétin,m
Steve Olson,m
Christopher Ball,m
Jim Strouse,m
Ron Kalish,m
Matt Manfredi,m
Kirsten Smith,f
Rafael E. Sánchez,m
Steven Spielberg,m
Rick Shaine,m
James Wong Jim,m
Mitchell Bell,m
Phedon Papamichael,m
Howard Goodall,m
Molly O'Haver,f
Thomas M. Hammel,m
Jane Jenkins,f
Lucas Foster,m
Tomas Alfredson,m
Laurie Parker,f
James Acheson,m
Joss Whedon,m
David Lynch,m
Gary Goldman,m
Kyle Cooper,m
Boaz Yakin,m
Andrew Knight,m
George Axelrod,m
Tomas Alfredson,m
Arnon Milchan,m
Ryan Coogler,m
Zigmund Gron,m
David Dobkin,m
Melody London,f
Philip Stockton,m
Steven Spielberg,m
Michael A. Webber,m
Jay Oliva,m
Lowell Ganz,m
Monika Mikkelsen,f
Karl Walter Lindenlaub,m
Menahem Golan,m
Donald O. Mitchell,m
Flora Fernandez-Marengo,f
Paul Greengrass,m
Bill Carraro,m
Fernando Meirelles,m
Mike Hill,m
Lin-Manuel Miranda,m
Deidre Bowen,f
Francis Kenny,m
Denise Di Novi,f
Suzanne Smith,f
David O. Sacks,m
Robert Shaye,m
Bobby Farrelly,m
Kurt Wimmer,m
Orson Scott Card,m
Alan Silvestri,m
David Eggby,m
David Alexander Smith,m
Sion Sono,m
Paul Smith,m
Paul Prokop,m
Amy Westcott,f
David Hackl,m
Matt Groening,m
Volker Schlöndorff,m
Lina Todd,f
