name,gender
Miloš Forman,m
Joanna Johnston,f
Larry Dias,m
Takahiro Omori,m
Cindy Evans,f
Quentin Tarantino,m
Graham Broadbent,m
Simona Paggi,f
Deborah Lynn Scott,f
Riz Ortolani,m
Saul Zaentz,m
Charles Collum,m
George Justin,m
Hayao Miyazaki,m
Cornell Woolrich,m
Louis C.K.,m
Giuseppe Rotunno,m
David Lancaster,m
Pawel Edelman,m
Carl Lerner,m
Marcia Lucas,f
Jenny Bicks,f
Mark Ordesky,m
Xavier Dolan,m
Emeric Pressburger,m
Rick Carter,m
George Tomasini,m
Arthur Hornblow Jr.,m
Paul Hellerman,m
Laura Ballinger,f
Takanobu Saitô,m
Alfio Contini,m
John Toll,m
Ronnie Yeskel,f
Georg Krause,m
Takeshi Seyama,m
Ronald M. Bozman,m
David Fincher,m
Rachel Elkind,f
Mike Fenton,m
David Wasco,m
Saul Zaentz,m
James W. Brown,m
Howard Shore,m
Hilton A. Green,m
Steve Tisch,m
John Ottman,m
Jane Feinberg,f
Ronald Víctor García,m
Roberto Benigni,m
Joseph M. Schenck,m
Sara Andrews,f
Henry Bumstead,m
Robert Dawn,m
Carlo Simi,m
Nino Baragli,m
Charlie Chaplin,m
Franz Waxman,m
John F. Seitz,m
Stephen Chbosky,m
Allan Starski,m
Jacques Becker,m
Charles Brackett,m
Pascal Chaumeil,m
Xavier Dolan,m
Gary Wissner,m
Jason Reitman,m
Buster Keaton,m
Wally Westmore,m
Barrie M. Osborne,m
Andrea Morricone,f
Richard N. Gladstein,m
Kerry Rossall,m
Eric Sundahl,m
Robert Zemeckis,m
Monique Prudhomme,f
Richard Francis-Bruce,m
Jonathan Nolan,m
Mario Puzo,m
Don Burgess,m
Mike Fenton,m
Bob Gale,m
Alfred Hitchcock,m
Alfred Hitchcock,m
Frank Darabont,m
Akira Kurosawa,m
Tak Fujimoto,m
Jean C. Havez,m
Bernard Herrmann,m
Ronald Harwood,m
Nino Baragli,m
Gary M. Zuckerbrod,m
Merissa Lombardo,f
David Hoberman,m
Karl Struss,m
Jonathan Nolan,m
Ryu Seong-hee,f
Emeric Pressburger,m
Hal Pereira,m
Monte Hellman,m
Sylvie Landra,f
Alan Tomkins,m
Tonino Delli Colli,m
Agenore Incrocci,m
Hayao Miyazaki,m
Kazuo Miyagawa,m
Charles D. Hall,m
Harvey Weinstein,m
Valerie McCaffrey,f
Toshio Suzuki,m
Charlie Chaplin,m
Charles D. Hall,m
Nancy Haigh,f
David Julyan,m
Vittorio De Sica,m
Neil Jenkins,m
James A. Gleason,m
Tony Thomas,m
Aggie Guerard Rodgers,f
Christopher Nolan,m
Neil Canton,m
Steven Spielberg,m
Carlo Simi,m
Hervé de Luze,m
Akira Kurosawa,m
Hayao Miyazaki,m
Stanley Kubrick,m
Angelo Ragusa,m
Peter Jackson,m
Louis Craig,m
Sharmishta Roy,f
Robert Zemeckis,m
Walter Fasano,m
George Lucas,m
John Cope,m
Kenji Mizoguchi,m
Jonathan Demme,m
Robert Bloch,m
Howard Cummings,m
Mirela Rupic,f
Mary Zophres,f
Emma Thomas,f
Richard Bruno,m
Todd Lieberman,m
Damien Chazelle,m
Piero Umiliani,m
Ngila Dickson,f
Patrice Ledoux,m
Gerald B. Greenberg,m
Louis C.K.,m
Fiona Weir,f
David Klotz,m
Kearie Peak,f
Robert Benmussa,m
Thomas Narcejac,m
Terence Marsh,m
Arnold Kopelson,m
John Ottman,m
Barry Malkin,m
Takao Saitô,m
Sion Sono,m
Louis C.K.,m
Jacques Becker,m
Fred Roos,m
Wally Westmore,m
Stanley Kubrick,m
Jesper Kyd,m
Park Chan-wook,m
Lenny Abrahamson,m
Anne Dudley,f
John Barry,m
Steve Conrad,m
Masaichi Nagata,m
Harvey Keitel,m
Quentin Tarantino,m
Yûharu Atsuta,m
Roy Walker,m
Hans Zimmer,m
Peter Jackson,m
Mathieu Vadepied,m
Lana Wachowski,f
Clay A. Griffith,m
Gary Kurtz,m
Liz Glotzer,f
Ira H. Morgan,m
Shaheen Baig,f
Craig McKay,m
Tony Kaye,m
Fred Lau,m
Nathan Crowley,m
Gordon Willis,m
Ben Davis,m
Carlo Leva,m
Kazuya Tsurumaki,m
Roland Totheroh,m
Wally Pfister,m
Asakazu Nakai,m
Hugh Jackman,m
Makoto Shinkai,m
Boris Kaufman,m
Michael Powell,m
Yojiro Noda,m
Steven Moffat,m
Emma Thomas,f
Steve Gehrke,m
Tricia Wood,f
Edward Saxon,m
Takafumi Watanabe,m
Ray Lovejoy,m
Gerald R. Molen,m
Pierre Boileau,m
John Mollo,m
Manmohan Singh,m
Yasuo Uragami,m
Emeric Pressburger,m
Sally Menke,f
Russell Harlan,m
Camillo Mastrocinque,m
Eugenio Alabiso,m
Charles D. Hall,m
Philip Smith,m
Steven Moffat,m
Jean Becker,m
Billy Hopkins,m
Emeric Pressburger,m
Roman Polanski,m
Hans Zimmer,m
Lawrence G. Paull,m
Kenji Mizoguchi,m
Ettore Scola,m
David S. Goyer,m
Isao Takahata,m
Thomas Harris,m
Steve Tisch,m
Benjamin Melniker,m
George Tomasini,m
Agenore Incrocci,m
Sergio Leone,m
Joe Hutshing,m
Oriol Paulo,m
Martin Scorsese,m
David McKenna,m
Jack Keller,m
Shinobu Hashimoto,m
Andrew Lesnie,m
Nino Rota,m
Jim Thompson,m
Francis Ford Coppola,m
J. Russell Spencer,m
Kalina Ivanov,f
Antonio Pinto,m
Christopher Nolan,m
Hideo Oguni,m
Sue Vertue,f
C.O. Erickson,m
Ilona Herman,f
Bob Weinstein,m
Christopher Nolan,m
Sergio Leone,m
Hayao Miyazaki,m
Larry Germain,m
Alfred Newman,m
Lindy Hemming,f
Richard Francis-Bruce,m
Steven Moffat,m
Bernard Herrmann,m
Stephen Rennicks,m
David Tattersall,m
James Haygood,m
Emmett Emerson,m
Jack Keller,m
Geoffrey Patterson,m
Lea Carlson,f
Michael Simpson,m
Anna Hill Johnstone,f
Stanley Kubrick,m
William Reynolds,m
Alfred Newman,m
Antonella Pompei,f
J. Russell Spencer,m
Ray Moyer,m
Hisanori Ooshiro,m
Hayao Miyazaki,m
Alan Lee,m
Jennifer Todd,f
Angelo Badalamenti,m
Suzanne Smith,f
Christopher Nolan,m
Heta Mantscheff,f
Akira Kurosawa,m
Michiyo Yasuda,f
Takeshi Seyama,m
Lawrence Bender,m
Kristi Zea,f
Stephen King,m
Bob Weinstein,m
Alec Coppel,m
Philippa Boyens,f
Philip Ivey,m
Nathan Crowley,m
Christopher Nolan,m
Ray Moyer,m
Sôjirô Motoki,m
Fran Walsh,f
Xavier Dolan,m
Sergio Leone,m
Irene Lamb,f
Henry Bergman,m
Quentin Tarantino,m
Marcia Lucas,f
Art Linson,m
Rodrigo Teixeira,m
Ngila Dickson,f
Hayao Miyazaki,m
Andrew Lesnie,m
Saul Zaentz,m
Michiyo Yasuda,f
Cho Sang-kyung,f
Aaron Ryder,m
James C. Katz,m
Martin McDonagh,m
Danielle Berman,f
Tom Tykwer,m
Robert Duffy,m
Alfred Hitchcock,m
Arthur Schmidt,m
Tom Schulman,m
Dan Hennah,m
Branko Lustig,m
Herman Buchman,m
Javed Siddiqui,m
Lelio Luttazzi,m
Furio Scarpelli,m
Michael Ford,m
Ennio Morricone,m
Edith Head,f
Leigh Brackett,f
Henry Fonda,m
Kogo Noda,m
Louis DiGiaimo,m
Kunji Tanifuji,m
Howard Shore,m
Mamoru Hosoda,m
John Seale,m
Diane Johnson,f
George Lucas,m
Anne Kopelson,f
Fernando Meirelles,m
Michael Kaplan,m
Gabriella Pescucci,f
Bob Weinstein,m
Dan Kolsrud,m
Reginald Mills,m
Fumio Hayasaka,m
Wojciech Kilar,m
Clyde Bruckman,m
Sayombhu Mukdeeprom,m
Maher Ahmad,m
Alberto Grimaldi,m
Brad Ricker,m
Thomas Newman,m
Arnon Milchan,m
Tom Cross,m
Charlie Chaplin,m
Jack Nitzsche,m
Michael Lynne,m
Gray Frederickson,m
Harry Crocker,m
Joakim Sundström,m
Evan Hunter,m
Alan Silvestri,m
Laray Mayfield,f
Harry Kurnitz,m
John L. Russell,m
Brian Witten,m
Fred Roos,m
Danny DeVito,m
Bill Carraro,m
Grant Major,m
Ennio Morricone,m
Jim Uhls,m
Leonid Raab,m
W. Wallace Kelley,m
Edward G. Boyle,m
Christopher Nolan,m
Carl Theodor Dreyer,m
Masaichi Nagata,m
Franz Waxman,m
Christopher Ball,m
Christopher Nolan,m
Edith Head,f
Paul Hirsch,m
Harry Crocker,m
Peter Jackson,m
Helen Estabrook,f
Carl Theodor Dreyer,m
Bo Goldman,m
Barbara De Fina,f
Richard N. Gladstein,m
Charlie Chaplin,m
David Lazan,m
Judy Taylor,f
Jasmine McGlade,f
Tôru Takemitsu,m
Henry Bergman,m
Vincenzo Cerami,m
Francis Ford Coppola,m
Janusz Kamiński,m
Anna B. Sheppard,f
Jack Cardiff,m
Masaru Satô,m
Charlie Chaplin,m
Mario Puzo,m
Bud Thackery,m
David Lynch,m
Newton Thomas Sigel,m
Dean Tavoularis,m
Sam Comer,m
Tôru Takemitsu,m
Harvey Weinstein,m
Hayao Miyazaki,m
Betsy Heimann,f
Thelma Schoonmaker,f
Ernest Gold,m
Makoto Shinkai,m
Jason Blum,m
Kogo Noda,m
Irene Lamb,f
Christopher Nolan,m
Roger Deakins,m
Hideaki Anno,m
Robert Jones,m
Philippa Boyens,f
Francine Maisler,f
Robin D. Cook,f
Elgin Lessley,m
Matsutarô Kawaguchi,m
Steven Haft,m
Uday Chopra,m
Frank Darabont,m
Wally Pfister,m
John Lasseter,m
Martin McDonagh,m
John Toll,m
Vic Ramos,m
George Lucas,m
Yash Chopra,m
Richard Taylor,m
Gerald Fried,m
Toshio Suzuki,m
Lawrence Bender,m
Celestia Fox,f
Damien Chazelle,m
Kim Sang-beom,m
Dean Cundey,m
Joy Todd,f
David V. Lester,m
John King,m
Charlie Chaplin,m
Joe Hisaishi,m
Howard Shore,m
Carlo Rustichelli,m
Sam Comer,m
John Howe,m
Xavier Dolan,m
Eric Roth,m
Robert Burks,m
James C. Katz,m
John M. Davis,m
Jane Feinberg,f
Sharon Boyle,f
Frank Marshall,m
Roger Christian,m
Roman Polanski,m
Andrzej Sekula,m
Quentin Tarantino,m
Peter Jackson,m
James Ivory,m
John Lasseter,m
Daniel Mandell,m
Tom Smith,m
Christer Melén,m
Reginald Rose,m
Kara Eide,f
John Howe,m
George Tomasini,m
Carl Theodor Dreyer,m
Sion Sono,m
Andrew Stanton,m
Louis C.K.,m
Jennifer Duffy,f
John Davis,m
Thierry Arbogast,m
William Russell,m
Makoto Shinkai,m
Michael Shamberg,m
J. Russell Spencer,m
Vicky Herman,f
Paul Hirsch,m
Todd M. Thaler,m
Takeshi Seyama,m
Dean Eilertson,m
Wally Westmore,m
Peter Spears,m
Tomoyuki Tanaka,m
Willard Nico,m
Mike Fenton,m
Peter Jackson,m
Steve Starkey,m
Ross Grayson Bell,m
Nicola Piovani,m
Guel Arraes,m
Nicola Piovani,m
Hayao Miyazaki,m
Al Ernest Garcia,m
Todd Hallowell,m
Howard Shore,m
Tonino Delli Colli,m
Richard Francis-Bruce,m
John Soukup,m
Luc Besson,m
Peter Jackson,m
Dario Argento,m
Willard Nico,m
Sergio Leone,m
Yojiro Noda,m
Michael Douglas,m
Kensuke Ushio,m
Sam Comer,m
Juliet Taylor,f
David F. Klassen,m
George Lucas,m
Eraldo Da Roma,m
Nathan Crowley,m
Takao Saitô,m
Luca Guadagnino,m
Sheldon Kahn,m
Alan Silvestri,m
William Tyrer,m
Peter Bucossi,m
Tullio Pinelli,m
Bob Gale,m
Steven Moffat,m
Jon Gregory,m
Stanley Kubrick,m
Stanley Kubrick,m
Lawrence Kasdan,m
Gilbert Taylor,m
Carlo Simi,m
Mark Gatiss,m
John Michael Hayes,m
Leslie McDonald,f
John Mollo,m
Yûharu Atsuta,m
James Liggat,m
Yoshifumi Kondou,m
Michael Lynne,m
Wally Pfister,m
Allan Starski,m
Thomas Newman,m
Chuck Palahniuk,m
Fumio Hayasaka,m
Steven Spielberg,m
William James Teegarden,m
Emma Thomas,f
Agnès Mentre,f
Barrie M. Osborne,m
André Turpin,m
Bryan Singer,m
Furio Scarpelli,m
John Williams,m
Kenyon Hopkins,m
Akira Kurosawa,m
Louise Mingenbach,f
Joseph Stefano,m
Charlie Chaplin,m
Ellen Mirojnick,f
Peter Weir,m
Anna B. Sheppard,f
Peter Zinner,m
Tessa Ross,f
Terence Marsh,m
Melanie Jones,f
Park Chan-wook,m
Don Burgess,m
Ennio Morricone,m
Masaru Satô,m
Tokuzô Tanaka,m
Ennio Morricone,m
Ennio Morricone,m
Charles Brackett,m
Daniel Rezende,m
Weronika Migon,f
Kathleen Kennedy,f
