title,date,actors,staff,genres
Louis C.K.: Hilarious,2010-01-26,[Louis C.K.],"[Louis C.K., Louis C.K.]",[Comedy]
Il Sorpasso,1962-12-04,"[Vittorio Gassman, Catherine Spaak, Jean-Louis Trintignant, Claudio Gora, Linda Sini, Jacques Stany]","[Ettore Scola, Riz Ortolani, Mario Cecchi Gori, Alfio Contini]","[Drama, Comedy]"
I Corti,1996-01-01,"[Giacomo Poretti, Giovanni Storti, Marina Massironi]",[],[]
The Lord of the Rings: The Two Towers,2002-12-18,"[Elijah Wood, Ian McKellen, Viggo Mortensen, Liv Tyler, Orlando Bloom, John Rhys-Davies, Christopher Lee, Sean Astin, Billy Boyd, Dominic Monaghan, Andy Serkis, Hugo Weaving, Craig Parker, Bernard Hill, Brad Dourif, Miranda Otto, David Wenham, Karl Urban, Cate Blanchett, Olivia Tennet]","[Peter Jackson, Barrie M. Osborne, Bob Weinstein, Harvey Weinstein, Saul Zaentz, Mark Ordesky, Michael Lynne, J.R.R. Tolkien, Peter Jackson, Fran Walsh, Philippa Boyens, Andrew Lesnie, Philip Ivey, Alan Lee, John Howe, Dan Hennah, Ngila Dickson]","[Adventure, Fantasy, Action]"
Once Upon a Time in the West,1968-12-21,"[Claudia Cardinale, Henry Fonda, Jason Robards, Charles Bronson, Gabriele Ferzetti, Paolo Stoppa, Woody Strode, Jack Elam, Keenan Wynn, Lionel Stander, Marco Zuanelli, Al Mulock, Antonio Molino Rojo, Fabio Testi]","[Sergio Leone, Ennio Morricone, Tonino Delli Colli, Nino Baragli, Carlo Simi, Antonella Pompei, Carlo Simi, John Landis, Dario Argento, Bernardo Bertolucci, Sergio Leone, Sergio Leone]",[Western]
The Legend of 1900,1998-10-28,"[Tim Roth, Pruitt Taylor Vince, Mélanie Thierry, Bill Nunn, Gabriele Lavia, Clarence Williams III, Mélanie Thierry, Peter Vaughan, Alberto Vazquez]",[Ennio Morricone],[Fantasy]
The Red Shoes,1948-07-20,"[Adolf Wohlbrück, Moira Shearer, Robert Helpmann, Albert Bassermann, Esmond Knight, Ludmilla Tchérina, Marius Goring, Austin Trevor, Eric Berry, Irene Browne, Jerry Verno]","[Michael Powell, Michael Powell, Michael Powell, Emeric Pressburger, Emeric Pressburger, Emeric Pressburger, Jack Cardiff, Hans Christian Andersen, Emeric Pressburger, Reginald Mills]","[Drama, Romance]"
Star Wars,1977-05-25,"[Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing, Alec Guinness, Anthony Daniels, Kenny Baker, Peter Mayhew, David Prowse, Phil Brown, Shelagh Fraser, Jack Purvis, Eddie Byrne, Denis Lawson, Garrick Hagon, Don Henderson, Leslie Schofield, Richard LeParmentier, Michael Leader]","[George Lucas, George Lucas, Gary Kurtz, John Williams, Gilbert Taylor, George Lucas, Richard Chew, Paul Hirsch, Marcia Lucas, Dianne Crittenden, Irene Lamb, Vic Ramos, John Barry, Leslie Dilley, Norman Reynolds, Roger Christian, John Mollo, Phil Tippett]","[Adventure, Action, Science Fiction]"
Memento,2000-10-11,"[Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior, Stephen Tobolowsky, Harriet Sansom Harris, Callum Keith Rennie, Larry Holden, Jorja Fox, Russ Fega, Thomas Lennon, Kimberly Campbell, Marianne Muellerleile]","[Christopher Nolan, Christopher Nolan, Jonathan Nolan, Jennifer Todd, Suzanne Todd, Aaron Ryder, David Julyan, Wally Pfister, Patti Podesta, Dody Dorn, Christopher Ball, William Tyrer, Emma Thomas, Danielle Berman, Cindy Evans, Steve Gehrke, David Klotz]","[Mystery, Thriller]"
The Pianist,2002-09-24,"[Adrien Brody, Thomas Kretschmann, Frank Finlay, Maureen Lipman, Emilia Fox, Ed Stoppard, Michal Zebrowski, Wanja Mues, Richard Ridings, Thomas Lawinky, Paul Bradley]","[Roman Polanski, Ronald Harwood, Roman Polanski, Alain Sarde, Hervé de Luze, Wojciech Kilar, Pawel Edelman, Robert Benmussa, Celestia Fox, Heta Mantscheff, Allan Starski, Nenad Pečur, Anna B. Sheppard, Weronika Migon]","[Drama, War]"
The Shining,1980-05-22,"[Jack Nicholson, Danny Lloyd, Scatman Crothers, Barry Nelson, Philip Stone, Anne Jackson, Tony Burton, Barry Dennen]","[Stanley Kubrick, Stanley Kubrick, Stephen King, Diane Johnson, Stanley Kubrick, Jan Harlan, Wendy Carlos, Rachel Elkind, John Alcott, Ray Lovejoy, James Liggat, Roy Walker, Milena Canonero, Tom Smith]","[Horror, Thriller]"
Woman in the Dunes,1964-02-15,"[Eiji Okada, Kyoko Kishida]","[Hiroshi Teshigahara, Tôru Takemitsu]","[Drama, Thriller]"
Room,2015-10-16,"[Brie Larson, Jacob Tremblay, Joan Allen, Sean Bridgers, William H. Macy, Tom McCamus, Amanda Brugel, Joe Pingue, Cas Anvar, Wendy Crewson, Kate Drummond, Randal Edwards, Jack Fulton, Justin Mader, Zarrin Darnell-Martin, Jee-Yun Lee, Ola Sturik, Rodrigo Fernandez- Stoll, Rory O'Shea, Matt Gordon]","[Lenny Abrahamson, Ed Guiney, Michelle Lannon, Danny Cohen, Fiona Weir, Robin D. Cook, Lea Carlson, Stephen Rennicks, Andrew Lowe, Tessa Ross]","[Drama, Thriller]"
"Sherlock, Jr.",1924-04-21,"[Buster Keaton, Kathryn McGuire, Joe Keaton, Erwin Connelly, Ward Crane, George Davis, Kewpie Morgan, Steve Murphy]","[Buster Keaton, Buster Keaton, Clyde Bruckman, Joseph M. Schenck, Elgin Lessley, Buster Keaton, Jean C. Havez, Joseph A. Mitchell]","[Action, Comedy, Mystery]"
Reservoir Dogs,1992-09-02,"[Harvey Keitel, Tim Roth, Michael Madsen, Chris Penn, Steve Buscemi, Lawrence Tierney, Edward Bunker, Quentin Tarantino, Randy Brooks, Kirk Baltz, Steven Wright, David Steen]","[Quentin Tarantino, Lawrence Bender, Andrzej Sekula, Sally Menke, Ronnie Yeskel, David Wasco, Quentin Tarantino, Richard N. Gladstein, Monte Hellman, Ronna B. Wallace, Betsy Heimann, Paul Hellerman, Harvey Keitel]","[Crime, Thriller]"
Umberto D.,1952-01-20,"[Memmo Carotenuto, Lamberto Maggiorani, Maria Pia Casilio]","[Vittorio De Sica, Alessandro Cicognini, Eraldo Da Roma, Vittorio De Sica, Giuseppe Rotunno]",[Drama]
Back to the Future,1985-07-03,"[Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover, Thomas F. Wilson, Claudia Wells, Marc McClure, Wendie Jo Sperber, Frances Lee McCain, James Tolkan, Billy Zane, J.J. Cohen, Casey Siemaszko, Cristen Kauffman, Elsa Raven, Will Hare]","[Robert Zemeckis, Bob Gale, Neil Canton, Dean Cundey, Alan Silvestri, Harry Keramidas, Arthur Schmidt, Lawrence G. Paull, Jane Feinberg, Mike Fenton, Judy Taylor, Robert Zemeckis, Bob Gale, Kathleen Kennedy, Frank Marshall, Steven Spielberg, Todd Hallowell, Deborah Lynn Scott, Dorothy Byrne]","[Adventure, Comedy, Science Fiction, Family]"
Vertigo,1958-05-09,"[James Stewart, Kim Novak, Barbara Bel Geddes, Tom Helmore, Henry Jones, Raymond Bailey, Ellen Corby, Konstantin Shayne, Lee Patrick, Bess Flowers]","[Alfred Hitchcock, Alfred Hitchcock, James C. Katz, Bernard Herrmann, Robert Burks, George Tomasini, Henry Bumstead, Hal Pereira, Alec Coppel, Samuel A. Taylor, Edith Head, Sam Comer, Pierre Boileau, Thomas Narcejac, W. Wallace Kelley]","[Mystery, Romance, Thriller]"
Ugetsu,1953-03-26,"[Masayuki Mori, Machiko Kyô, Kinuyo Tanaka, Eitarô Ozawa, Mitsuko Mito, Saburo Date]","[Kenji Mizoguchi, Matsutarô Kawaguchi, Masaichi Nagata, Fumio Hayasaka, Kazuo Miyagawa]","[Fantasy, Drama, Mystery]"
Late Spring,1949-09-13,"[Setsuko Hara, Yumeji Tsukioka, Haruko Sugimura, Kuniko Miyake, Masao Mishima, Yôko Katsuragi]","[Kogo Noda, Yûharu Atsuta]",[Drama]
Wolf Children,2012-07-21,"[Aoi Miyazaki, Haru Kuroki, Megumi Hayashibara, Tamio Ohki, Shota Sometani, Kumiko Asou]","[Mamoru Hosoda, Mamoru Hosoda, Takafumi Watanabe]","[Animation, Drama, Family, Fantasy]"
The Greatest Showman,2017-12-20,"[Hugh Jackman, Zac Efron, Michelle Williams, Zendaya, Rebecca Ferguson, Ellis Rubin, Will Swenson]","[Jenny Bicks, Bill Condon, Hugh Jackman, Deb Dyer, Joe Hutshing, Nathan Crowley, Laura Ballinger, Ellen Mirojnick, Robert Duffy]","[Drama, Music]"
