title,date,actors,staff,genres
The Empire Strikes Back,1980-05-20,"[Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Anthony Daniels, David Prowse, Kenny Baker, Peter Mayhew, Frank Oz, Kathryn Mullen, Jason Wingreen, Temuera Morrison, Clive Revill, Marjorie Eaton, Ian McDiarmid, Alec Guinness, John Hollis]","[Irvin Kershner, Gary Kurtz, Leigh Brackett, Lawrence Kasdan, John Williams, George Lucas, George Lucas, Irene Lamb, Norman Reynolds, Leslie Dilley, Alan Tomkins, Michael Ford, John Mollo, Paul Hirsch, George Lucas, Marcia Lucas]","[Adventure, Action, Science Fiction]"
Sunset Boulevard,1950-08-10,"[William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson, Fred Clark, Lloyd Gough, Jack Webb, Buster Keaton, Cecil B. DeMille, Hedda Hopper, Anna Q. Nilsson, H.B. Warner, Franklyn Farnum, Larry J. Blake, Fred Aldrich, Joel Allen, Ralph Montgomery]","[Charles Brackett, Charles Brackett, Franz Waxman, John F. Seitz, Hans Dreier, Sam Comer, Ray Moyer, Edith Head, Wally Westmore, John Cope]",[Drama]
Princess Mononoke,1997-07-12,"[Yuriko Ishida, Yūko Tanaka, Kaoru Kobayashi, Masahiko Nishimura, Tsunehiko Kamijô, Hisaya Morishige, Takako Fuji]","[Hayao Miyazaki, Hayao Miyazaki, Toshio Suzuki, Joe Hisaishi, Hayao Miyazaki, Takeshi Seyama, Yasuyoshi Tokuma]","[Adventure, Fantasy, Animation]"
The Lord of the Rings: The Return of the King,2003-12-01,"[Elijah Wood, Ian McKellen, Viggo Mortensen, Liv Tyler, Orlando Bloom, John Rhys-Davies, Sean Astin, Billy Boyd, Dominic Monaghan, Andy Serkis, Hugo Weaving, Ian Holm, Bernard Hill, Miranda Otto, David Wenham, Karl Urban, John Noble, Cate Blanchett, Lawrence Makoare, Paul Norell]","[Peter Jackson, Peter Jackson, Barrie M. Osborne, Bob Weinstein, Harvey Weinstein, Mark Ordesky, Michael Lynne, J.R.R. Tolkien, Peter Jackson, Fran Walsh, Philippa Boyens, Andrew Lesnie, John Howe, Dan Hennah, Ngila Dickson, Richard Taylor, Howard Shore]","[Adventure, Fantasy, Action]"
Anne of Green Gables,1985-12-01,"[Megan Follows, Colleen Dewhurst, Richard Farnsworth, Patricia Hamilton, Marilyn Lightstone, Jonathan Crombie, Charmion King]",[Kevin Sullivan],"[Drama, Family]"
American History X,1998-10-30,"[Edward Norton, Edward Furlong, Beverly D'Angelo, Avery Brooks, Jennifer Lien, Ethan Suplee, Stacy Keach, Fairuza Balk, Elliott Gould, Guy Torry, William Russ, Joe Cortese, Jason Bose Smith, Antonio David Lyons, Alex Sol, Giuseppe Andrews, Keram Malicki-Sánchez, Christopher Masterson]","[Tony Kaye, John Morrissey, David McKenna, Anne Dudley, Gerald B. Greenberg, Alan Heim, Valerie McCaffrey, David McKenna, Bill Carraro, Michael De Luca, David McKenna, Kearie Peak, Steve Tisch, Lawrence Turman, Brian Witten]",[Drama]
Seven Samurai,1954-04-26,"[Toshirō Mifune, Takashi Shimura, Yoshio Inaba, Seiji Miyaguchi, Minoru Chiaki, Isao Kimura, Keiko Tsushima, Kamatari Fujiwara, Yoshio Tsuchiya, Kokuten Kôdô, Eijirō Tōno, Atsushi Watanabe, Kichijirô Ueda]","[Akira Kurosawa, Shinobu Hashimoto, Hideo Oguni, Akira Kurosawa, Sôjirô Motoki, Fumio Hayasaka, Asakazu Nakai, Akira Kurosawa, Takao Saitô, Masaru Satô]","[Action, Drama]"
High and Low,1963-03-01,"[Toshirō Mifune, Tatsuya Nakadai, Tatsuya Mihashi, Isao Kimura, Takeshi Katô, Takashi Shimura, Nobuo Nakamura, Yūnosuke Itō, Tsutomu Yamazaki, Minoru Chiaki, Eijirō Tōno, Yutaka Sada]","[Akira Kurosawa, Akira Kurosawa, Tomoyuki Tanaka, Masaru Satô, Asakazu Nakai, Takao Saitô, Hideo Oguni, Evan Hunter, Akira Kurosawa]","[Crime, Drama, Mystery, Thriller]"
The Handmaiden,2016-06-01,"[Kim Min-hee, Kim Tae-ri, Ha Jung-woo, Cho Jin-woong, Moon So-ri, Lee Dong-hwi, Lee Yong-nyeo]","[Park Chan-wook, Park Chan-wook, Park Chan-wook, Kim Sang-beom, Ryu Seong-hee, Chung Seo-kyung, Cho Sang-kyung]","[Thriller, Drama, Romance]"
The Passion of Joan of Arc,1928-04-21,"[Maria Falconetti, Eugene Silvain, Maurice Schutz, Antonin Artaud, Michel Simon, Louis Ravet, Alexandre Mihalesco]","[Rudolph Maté, Carl Theodor Dreyer, Carl Theodor Dreyer, Joseph Delteil, Carl Theodor Dreyer, Carl Theodor Dreyer, Jesper Kyd]","[Drama, History]"
"The Good, the Bad and the Ugly",1966-12-23,"[Clint Eastwood, Eli Wallach, Lee Van Cleef, Luigi Pistilli, Rada Rassimov, John Bartha, Livio Lorenzon, Angelo Novi, Aldo Sambrell, Al Mulock, Antonio Molino Rojo]","[Sergio Leone, Alberto Grimaldi, Ennio Morricone, Tonino Delli Colli, Eugenio Alabiso, Nino Baragli, Carlo Simi, Sergio Leone, Agenore Incrocci, Furio Scarpelli, Sergio Leone, Carlo Leva, Carlo Simi]",[Western]
The Great Dictator,1940-10-15,"[Charlie Chaplin, Jack Oakie, Reginald Gardiner, Henry Daniell, Billy Gilbert, Paul Weigel, Paulette Goddard, Grace Hayle, Maurice Moscovitch, Emma Dunn, Carter DeHaven, Rudolph Anders, George Lynn, Chester Conklin, Hank Mann]","[Charlie Chaplin, Charlie Chaplin, Charlie Chaplin, Karl Struss, Roland Totheroh, Willard Nico, J. Russell Spencer, Edward G. Boyle, Charlie Chaplin, Carter DeHaven]",[Comedy]
Mommy,2014-05-22,"[Anne Dorval, Suzanne Clément, Antoine-Olivier Pilon, Patrick Huard, Michèle Lituac, Viviane Pascal, Natalie Hamel-Roy, Isabelle Nélisse, Ted Pluviose, Stéphane Lefebvre, Mike Chute, Reda Guerinik, Justin Laramée, Sabrina Bisson, Huguette Gervais, Vincent Fafard, Jean-Philippe Baril-Guérard, Dominic Desnoyers, Guenièvre Sandré]","[Xavier Dolan, Xavier Dolan, Xavier Dolan, Xavier Dolan, Xavier Dolan, André Turpin]",[Drama]
Howl's Moving Castle,2004-11-19,"[Takuya Kimura, Tatsuya Gashûin, Mitsunori Isaki, Yo Oizumi, Akio Ohtsuka, Haruko Kato, Ryunosuke Kamiki, Chieko Baishô]","[Hayao Miyazaki, Hayao Miyazaki, Toshio Suzuki, John Lasseter, Hayao Miyazaki, Joe Hisaishi, Takeshi Seyama]","[Fantasy, Animation, Adventure]"
My Friends,1975-06-06,"[Ugo Tognazzi, Gastone Moschin, Philippe Noiret, Adolfo Celi, Bernard Blier, Marisa Traversi, Milena Vukotic, Olga Karlatos, Silvia Dionisio, Mauro Vestri, Mario Scarpetta, Sergio Forconi]","[Tullio Pinelli, Carlo Rustichelli]",[Comedy]
City Lights,1931-01-30,"[Charlie Chaplin, Virginia Cherrill, Florence Lee, Harry Myers, Al Ernest Garcia, Hank Mann, Albert Austin, Eddie Baker, Henry Bergman, James Donnelly, Jean Harlow]","[Charlie Chaplin, Gordon Pollock, Theodore Reed, Charlie Chaplin, Charlie Chaplin, Charlie Chaplin, Al Ernest Garcia, Harry Crocker, Charlie Chaplin, Roland Totheroh, Willard Nico, Charles D. Hall, Albert Austin, Henry Bergman, Harry Crocker, Harry Crocker, Alfred Newman]","[Comedy, Drama, Romance]"
Rear Window,1954-08-01,"[James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter, Raymond Burr, Judith Evelyn, Ross Bagdasarian, Georgine Darcy, Sara Berner, Frank Cady, Jesslyn Fax, Bess Flowers, Kathryn Grant, Marla English, Alfred Hitchcock, Gig Young]","[Alfred Hitchcock, Alfred Hitchcock, James C. Katz, Franz Waxman, Robert Burks, George Tomasini, Hal Pereira, Sam Comer, Ray Moyer, Edith Head, Wally Westmore, C.O. Erickson, Cornell Woolrich, John Michael Hayes, Herbert Coleman]","[Drama, Mystery, Thriller]"
Love Exposure,2008-11-29,"[Hikari Mitsushima, Makiko Watanabe, Sakura Ando, Atsuro Watabe, Itsuji Itao, Jyonmyon Pe]","[Sion Sono, Sion Sono]","[Action, Comedy, Drama, Romance]"
Leon: The Professional,1994-09-14,"[Jean Reno, Natalie Portman, Gary Oldman, Danny Aiello, Peter Appel, Michael Badalucco, Ellen Greene, Carl J. Matusovich, Eric Challier, Don Creech, Jernard Burks, Matt De Matt, Frank Senger, Lucius Wyatt 'Cherokee', Maïwenn, Luc Bernard]","[Luc Besson, Patrice Ledoux, Thierry Arbogast, Sylvie Landra, Todd M. Thaler, Dan Weil, Magali Guidasci, Luc Besson, Pascal Chaumeil, Peter Bucossi, Michael E. Phillips]","[Thriller, Crime, Drama]"
"Three Billboards Outside Ebbing, Missouri",2017-11-10,"[Frances McDormand, Woody Harrelson, Sam Rockwell, John Hawkes, Peter Dinklage, Abbie Cornish, Lucas Hedges, Caleb Landry Jones, Samara Weaving, Zeljko Ivanek, Amanda Warren, Kerry Condon, Darrell Britt-Gibson, Kathryn Newton, Sandy Martin, Christopher Berry]","[Martin McDonagh, Martin McDonagh, Graham Broadbent, Peter Czernin, Martin McDonagh, Ben Davis, Jon Gregory, Merissa Lombardo, Melissa Toth, Doug Cooper, Christer Melén, Joakim Sundström]","[Crime, Drama]"
Piper,2016-06-16,[],"[Adrian Belew, John Lasseter, Andrew Stanton, James W. Brown]","[Family, Animation]"
