name,gender
Franco Catalano,m
Patricia Hitchcock,f
John Anderson,m
Randal Edwards,m
Teruko Nagaoka,f
Silvia Dionisio,f
Jodie Foster,f
Esmond Knight,m
Casey Affleck,m
Gig Young,m
Bernard Hill,m
Mario Casas,m
Christopher Walken,m
Kaoru Kobayashi,m
Diane Keaton,f
Colleen Dewhurst,f
Florence Lee,f
Simon Oakland,m
Ethan Hawke,m
John Rhys-Davies,m
Ed Begley,m
Tim Roth,m
Ralph Fiennes,m
Max Kasch,m
Michael Massee,m
David Wenham,m
Sterling Hayden,m
Gabriele Lavia,m
Sara Berner,f
Edward Norton,m
Jason Robards,m
Antonio Molino Rojo,m
Bae Doona,f
Daniel C. Striepeke,m
Bob Stephenson,m
Nicola Di Pinto,m
Anne Hathaway,f
Dominic Chianese,m
Adolfo Celi,m
Sergio Forconi,m
Kana Hanazawa,f
Erich von Stroheim,m
Etsuko Ichihara,f
Dolores Heredia,f
David Tennant,m
Colin Kenny,m
Wendy Robie,f
Yoshio Inaba,m
Guy Torry,m
Michael Jeter,m
Woody Strode,m
Kathryn McGuire,f
Antonio Molino Rojo,m
Frank Albertson,m
Jon Hamm,m
Ellen Page,f
Henny Youngman,m
Hugo Weaving,m
Andrew Scott,m
Elliott Gould,m
Lee Patrick,f
Edward Bunker,m
Elena Fabrizi,f
Scatman Crothers,m
Megumi Hayashibara,f
Alfonso Freeman,m
Sean Astin,m
Olivia Tennet,f
Jason Bose Smith,m
Marco Nanini,m
Christopher Lee,m
Paula Malcomson,f
Mélanie Thierry,f
Charles Scorsese,m
Robert Duvall,m
David Prowse,m
Vincent Schiavelli,m
Maurice Schutz,m
Meat Loaf,m
Jennifer Lien,f
Daveed Diggs,m
Tom Helmore,m
Takehito Koyasu,m
Ryan Hayward,m
Joe Pantoliano,m
Suzy Amis,f
Albert Bassermann,m
Peter Capaldi,m
David Lee Smith,m
Claire Geare,f
Carrie Fisher,f
Matt Damon,m
Steven Wright,m
Motomu Kiyokawa,m
Kim Tae-ri,f
Dominic Monaghan,m
Andrzej Seweryn,m
Jean Reno,m
Jerry Hausner,m
Samara Weaving,f
Debi Mazar,f
Dominic Monaghan,m
Ralph Meeker,m
Peter Dinklage,m
Kofi Siriboe,m
Tim DeZarn,m
Leandra Leal,f
Hugh Jackman,m
Isabelle Nélisse,f
Bess Flowers,f
Claudio Gora,m
Shirô Ôsaka,m
Kathryn Grant,f
Yoshio Inaba,m
Elijah Wood,m
Orlando Bloom,m
Duane Whitaker,m
Phil LaMarr,m
Erwin Connelly,m
